symbol,mcap_cr
DEEPAKSP,82.72
DEEPINDS,2748.76
DEFRAIL,59.3
DEL,250.93
DELHIVERY,32792.96
DELPHIFX,294.23
DELTA,7.08
DELTACORP,1743.38
DELTAMAGNT,66.37
DELTRON,2.99
DEN,1340.43
DENISCHEM,104.01
DENORA,378.46
DENTA,725.87
DESCO,145.5
DESHRAK,16.55
DESIFARMS,68.34
DEVINE,8.08
DEVIT,164.36
DEVITRD,0.47
DEVLAB,115.46
DEVX,350.36
DEVYANI,14528.34
DFL,15.88
DFPL,38.42
DGCONTENT,161.15
DGL,1.33
DHABRIYA,377.44
DHAMPURE,98.87
DHAMPURSUG,848.84
DHAMSUGR,3.06
DHANADACO,10.21
DHANBANK,1078.5
DHANCOT,51.13
DHANFAB,47.37
DHANROTO,64.13
DHANSAFAL,59.75
DHANUKA,4804.14
DHARAN,92.8
DHARFIN,5.14
DHARMAJ,855.56
DHARNI,127.89
DHARSUGAR,28.65
DHARTI,3.55
DHATRE,52.3
DHENUBUILD,3948.36
DHILLON,13.59
DHINDIA,214.96
DHOOTIN,128.52
DHPIND,155.38
DHRUV,62.69
DHRUVCA,183.72
DHUNINV,557.28
DHYAANITR,11.29
DIACABS,8154.7
DIAMANT,2.82
DIAMINESQ,243.31
DIAMONDYD,2514.72
DIANATEA,39.67
DICIND,476.71
DIDL,19.96
DIFFNKG,1111.31
DIGIDRIVE,83.2
DIGILOGIC,287.42
DIGISPICE,461.54
DIGITIDE,1446.69
DIGJAMLMTD,92.65
DIKSAT,206.79
DIKSHA,60.51
DIL,18.82
DILIGENT,56.75
DION,7.25
DISAQ,1739.68
DISHTV,594.49
DITCO,4.91
DIVGIITTS,2164.29
DIVISLAB,169324.59
DIVSHKT,51.65
DIXON,67374.08
DJML,306.07
DJSSS,16.17
DKUAL,26.68
DLCL,10.67
DLF,149059.19
DLINKINDIA,1544.79
DLTNCBL,399.74
DMART,264697.66
DMCC,617.59
DML,11.09
DMR,39.29
DNAMEDIA,37.96
DODLA,6719.46
DOLATALGO,1362.76
DOLFIN,174.51
DOLLAR,1618.89
DOLPHIN,1654.1
DOLPHMED,7.86
DOMS,14089.01
DONEAR,467.06
DPABHUSHAN,2525.2
DPL,25.69
DPSCLTD,858.56
DPWIRES,266.12
DQE,8.17
DRA,18.81
DRAGARWQ,2365.91
DRCSYSTEMS,220.14
DREAMFOLKS,433.63
DREDGECORP,2794.23
DRL,15.7
DRONACHRYA,89.61
DRREDDY,105965.15
DSFCL,228.43
DSINVEST,11.46
DSKULKARNI,35.09
DSSL,1418.05
DTIL,146.03
DUCON,109.22
DUKEOFS,18.3
DUNCANENG,150.58
DUNCANSLTD,19.37
